Name,Unit,Stock,Rating,Price
Pumpkin,kg,78,2.6,45.21
Onion,kg,40,3.4,34.8
Garlic,bundle,64,2.3,57.02
Bottle Gourd,bundle,32,2.6,12.47
Carrot,kg,55,3.2,37.38
Capsicum,bundle,67,3.5,11.77
Carrot,bundle,47,3.1,47.09
Capsicum,bundle,76,4.7,22.76
Bottle Gourd,dozen,19,2.6,58.83
Pumpkin,bundle,54,3.6,15.93
Sweet Corn,bundle,99,3.3,97.28
Spinach,gram,95,2.6,17.99
Radish,piece,67,1.5,60.74
Cucumber,dozen,38,3.6,95.89
Brinjal,piece,46,3.1,40.17
Cucumber,gram,9,3.3,17.66
Tomato,piece,48,4.5,20.99
Mushroom,kg,21,3.7,45.03
Garlic,bundle,25,3.7,92.05
Mushroom,piece,88,2.0,58.39
Broccoli,dozen,17,5.0,68.45
Chili,piece,19,1.2,29.5
Mushroom,gram,86,1.0,96.94
Mushroom,bundle,32,4.2,24.62
Cabbage,bundle,42,4.9,50.9
Bottle Gourd,gram,13,3.1,59.42
Potato,dozen,18,2.4,92.22
Chili,kg,2,4.0,32.2
Turnip,piece,25,1.1,68.74
Tomato,piece,57,2.1,32.02
Bitter Gourd,gram,12,4.8,69.47
Radish,dozen,32,4.1,35.73
Ginger,dozen,33,4.3,56.55
Lady Finger,dozen,2,3.8,91.99
Ginger,gram,24,3.7,63.5
Green Peas,dozen,41,1.1,73.48
Onion,kg,72,4.3,10.16
Brinjal,gram,49,2.1,63.63
Bitter Gourd,kg,24,3.7,25.16
Capsicum,bundle,90,1.9,19.52
Cabbage,piece,35,3.4,60.7
Garlic,gram,13,1.8,87.48
Radish,piece,60,2.3,18.27
Tomato,kg,60,3.5,33.65
Spinach,piece,5,1.2,32.24
Spinach,bundle,39,1.7,10.62
Cucumber,dozen,44,1.8,90.45
Bottle Gourd,dozen,17,2.7,82.78
Onion,kg,49,3.8,70.2
Spinach,piece,66,3.2,69.85
Capsicum,dozen,54,3.0,62.59
Bitter Gourd,bundle,79,2.5,51.85
Beetroot,dozen,90,4.6,79.17
Tomato,bundle,84,1.9,26.34
Bottle Gourd,bundle,67,4.9,63.56
Brinjal,bundle,42,2.0,69.88
Carrot,piece,73,2.5,54.45
Carrot,gram,54,3.2,27.48
Green Peas,dozen,37,1.1,17.2
Green Peas,bundle,93,4.4,27.12
Capsicum,gram,13,2.4,80.33
Cucumber,kg,73,3.1,46.83
Beetroot,dozen,67,4.9,12.72
Radish,dozen,26,1.7,72.95
Radish,dozen,60,4.4,30.13
Lady Finger,bundle,36,1.4,46.03
Sweet Corn,kg,73,5.0,49.23
Turnip,piece,93,2.5,47.9
Cucumber,dozen,67,2.5,56.15
Garlic,gram,94,4.7,41.71
Cauliflower,bundle,72,2.5,71.2
Beetroot,kg,3,2.0,55.02
Brinjal,gram,8,2.8,72.66
Ginger,dozen,13,3.5,80.52
Sweet Corn,gram,15,4.1,28.76
Broccoli,bundle,45,3.7,37.95
Ginger,piece,49,3.8,78.52
Bottle Gourd,gram,17,3.7,14.95
Ginger,kg,27,1.0,60.94
Bottle Gourd,gram,69,1.1,25.45
Bitter Gourd,kg,8,1.1,95.26
Lady Finger,bundle,23,3.1,33.04
Green Peas,kg,78,2.8,58.67
Potato,gram,39,2.8,50.75
Garlic,kg,77,4.0,75.34
Mushroom,gram,94,4.0,34.5
Beetroot,bundle,65,1.4,31.54
Cauliflower,piece,34,2.6,22.95
Radish,piece,22,4.3,75.37
Sweet Corn,bundle,33,1.3,29.44
Tomato,bundle,14,2.4,98.79
Spinach,kg,100,3.4,66.08
Chili,gram,7,2.7,20.64
Tomato,kg,59,3.3,38.06
Cauliflower,bundle,14,1.6,34.94
Broccoli,piece,16,4.8,47.69
Mushroom,kg,2,2.9,69.49
Turnip,dozen,1,3.3,20.54
Cabbage,dozen,18,2.3,96.11
Tomato,gram,76,1.1,35.9
Radish,dozen,3,3.9,20.62
Cabbage,piece,80,2.8,55.96
Garlic,bundle,51,3.2,28.12
Bitter Gourd,piece,45,1.2,86.74
Green Peas,gram,71,3.6,22.85
Onion,kg,62,2.5,74.23
Potato,kg,78,4.2,75.68
Turnip,gram,68,1.7,42.56
Beetroot,gram,72,4.0,72.99
Radish,gram,48,2.5,16.82
Brinjal,piece,43,4.0,58.11
Sweet Corn,bundle,36,2.0,50.54
Tomato,bundle,43,2.5,40.43
Bottle Gourd,piece,62,4.3,27.52
Beetroot,piece,85,1.1,88.69
Spinach,dozen,39,1.3,84.83
Bitter Gourd,kg,43,1.5,91.05
Brinjal,gram,97,3.6,45.33
Bitter Gourd,piece,68,3.2,38.95
Mushroom,piece,82,1.5,43.73
Cauliflower,bundle,7,4.7,64.71
Green Peas,gram,38,1.4,18.33
Cauliflower,kg,95,4.4,27.54
Spinach,piece,3,2.6,66.51
Garlic,kg,56,1.4,68.19
Bottle Gourd,piece,19,1.5,29.89
Ginger,gram,40,1.8,73.56
Radish,bundle,99,3.3,98.0
Carrot,dozen,66,3.5,92.48
Potato,bundle,80,4.3,23.26
Sweet Corn,piece,33,1.2,58.64
Tomato,kg,82,2.3,72.98
Cabbage,gram,32,1.0,63.74
Bitter Gourd,kg,92,4.0,95.42
Brinjal,bundle,68,3.2,74.78
Pumpkin,piece,70,2.8,62.63
Onion,kg,13,1.5,16.58
Onion,dozen,26,2.4,39.08
Garlic,piece,77,2.9,29.12
Onion,bundle,41,3.3,11.14
Beetroot,gram,37,1.9,32.78
Sweet Corn,piece,10,1.1,74.77
Potato,gram,97,1.9,54.6
Lady Finger,kg,91,4.6,44.45
Green Peas,piece,91,2.7,52.13
Cucumber,dozen,50,3.5,82.23
Onion,bundle,69,4.6,19.19
Bottle Gourd,kg,10,3.0,13.77
Capsicum,dozen,55,4.2,18.53
Ginger,gram,24,2.0,57.76
Radish,piece,38,4.4,10.49
Mushroom,dozen,78,2.1,69.38
Beetroot,bundle,11,3.6,91.19
Cabbage,bundle,85,3.1,65.96
Radish,dozen,74,2.9,89.47
Potato,gram,71,2.0,57.42
Brinjal,dozen,11,3.9,48.63
Mushroom,kg,29,3.0,63.99
Tomato,bundle,72,3.2,61.18
Cabbage,gram,65,1.1,50.64
Tomato,piece,31,3.3,88.25
Cucumber,dozen,58,4.1,77.9
Broccoli,bundle,6,2.9,59.82
Potato,piece,66,4.5,26.22
Spinach,gram,76,3.7,58.92
Carrot,dozen,87,2.6,44.26
Bitter Gourd,dozen,98,3.8,98.36
Cauliflower,bundle,91,2.9,18.84
Carrot,gram,70,3.2,98.87
Capsicum,dozen,96,1.1,57.77
Carrot,dozen,76,1.9,39.77
Bottle Gourd,piece,44,4.2,37.82
Ginger,dozen,94,3.0,50.04
Green Peas,piece,23,2.4,72.17
Radish,kg,90,3.8,16.96
Sweet Corn,piece,5,3.0,66.87
Garlic,bundle,76,2.3,65.5
Pumpkin,gram,91,3.3,40.44
Cucumber,piece,40,2.0,75.07
Brinjal,kg,67,3.1,45.53
Cucumber,piece,8,4.0,54.29
Mushroom,gram,61,4.9,47.44
Cauliflower,gram,9,4.4,70.62
Cucumber,gram,23,1.6,29.69
Sweet Corn,gram,20,4.2,14.76
Brinjal,kg,53,3.0,57.81
Spinach,gram,11,3.5,56.25
Bitter Gourd,piece,25,3.5,12.2
Brinjal,piece,51,1.4,44.86
Turnip,dozen,68,1.3,13.19
Broccoli,bundle,8,1.6,93.63
Brinjal,gram,50,2.5,59.91
Pumpkin,dozen,56,1.6,94.43
Beetroot,piece,81,4.0,22.47
Sweet Corn,kg,27,4.7,56.15
Onion,dozen,45,3.6,35.5
Mushroom,bundle,86,1.5,46.22
Cabbage,bundle,69,3.8,14.76
Turnip,piece,19,2.8,96.42
Beetroot,kg,64,1.7,27.12
Broccoli,piece,11,2.6,84.01
Tomato,bundle,21,2.3,44.19
Cauliflower,kg,29,3.0,20.98
Chili,kg,5,2.9,14.22
Broccoli,kg,57,2.6,64.28
Chili,dozen,82,4.4,80.32
Tomato,kg,52,2.6,52.32
Cabbage,piece,35,3.8,83.66
Cabbage,bundle,44,3.2,12.4
Turnip,kg,80,1.4,75.51
Lady Finger,kg,53,2.7,27.36
Carrot,bundle,49,3.6,76.81
Cabbage,piece,63,2.8,91.86
Potato,kg,9,2.4,77.11
Radish,kg,86,1.5,19.52
Bitter Gourd,kg,18,2.3,77.72
Garlic,dozen,87,2.2,24.49
Cucumber,dozen,89,3.7,57.18
Capsicum,kg,99,1.1,99.19
Chili,gram,13,3.3,94.21
Brinjal,dozen,44,1.5,72.58
Tomato,bundle,91,3.5,20.68
Turnip,dozen,38,4.3,97.04
Bottle Gourd,kg,57,2.1,43.24
Cauliflower,kg,32,1.5,38.54
Cucumber,kg,71,2.2,16.31
Lady Finger,piece,22,2.4,41.77
Capsicum,gram,82,3.6,29.16
Chili,dozen,33,4.6,57.76
Cabbage,bundle,34,2.7,59.78
Beetroot,piece,55,3.2,93.54
Sweet Corn,bundle,63,2.9,57.55
Green Peas,piece,9,2.6,20.04
Capsicum,kg,22,3.0,75.65
Chili,bundle,73,3.0,57.36
Lady Finger,bundle,30,3.2,65.69
Garlic,gram,64,2.1,83.17
Carrot,dozen,73,4.7,31.69
Lady Finger,gram,38,4.3,94.96
Turnip,kg,94,2.2,16.41
Turnip,bundle,55,1.8,69.21
Sweet Corn,dozen,60,4.8,44.17
Turnip,dozen,74,4.7,88.59
Garlic,piece,51,4.9,12.27
Potato,gram,13,3.9,55.72
Cauliflower,gram,69,1.5,43.06
Carrot,dozen,26,4.0,77.85
Pumpkin,piece,27,3.2,72.05
Capsicum,gram,27,1.8,43.39
Mushroom,dozen,55,2.2,77.38
Garlic,bundle,78,2.9,77.2
Onion,dozen,89,1.9,21.67
Capsicum,dozen,67,4.9,41.12
Bottle Gourd,kg,82,4.3,14.99
Cucumber,bundle,2,1.0,97.72
Cauliflower,dozen,66,2.7,73.49
Ginger,bundle,95,2.9,96.09
Ginger,piece,52,5.0,53.28
Brinjal,gram,67,1.3,46.46
Tomato,bundle,51,4.9,69.16
Brinjal,kg,11,1.0,94.8
Cabbage,dozen,36,4.2,27.87
Garlic,piece,76,1.4,53.82
Carrot,gram,93,1.1,53.93
Carrot,dozen,52,4.3,37.74
Mushroom,piece,4,1.3,78.19
Tomato,dozen,99,4.0,41.06
Ginger,gram,5,1.2,86.8
Lady Finger,kg,2,2.1,85.85
Brinjal,dozen,22,2.4,90.02
Lady Finger,kg,96,4.3,26.7
Radish,kg,11,5.0,31.89
Brinjal,bundle,80,1.1,64.25
Bottle Gourd,piece,61,2.0,65.28
Sweet Corn,gram,35,1.6,81.79
Capsicum,gram,43,2.0,72.73
Beetroot,piece,97,3.8,78.81
Carrot,dozen,49,4.1,64.84
Cauliflower,kg,3,4.5,27.74
Bitter Gourd,dozen,59,3.2,69.15
Cucumber,kg,30,4.5,35.04
Green Peas,gram,22,1.8,19.73
Green Peas,dozen,71,2.5,92.63
Green Peas,gram,84,3.3,11.79
Cucumber,bundle,53,2.9,93.83
Cauliflower,dozen,26,4.3,62.44
Potato,dozen,73,1.3,74.84
Tomato,piece,63,3.7,97.53
Pumpkin,bundle,81,4.7,25.58
Cucumber,gram,97,4.7,16.02
Brinjal,kg,93,4.1,47.33
Green Peas,kg,90,3.6,64.01
Potato,gram,90,3.1,59.94
Lady Finger,kg,38,4.1,92.4
Spinach,dozen,21,2.3,99.97
Capsicum,kg,91,3.8,13.39
Broccoli,dozen,90,1.7,35.4
Cucumber,dozen,54,3.8,94.85
Brinjal,bundle,91,2.1,47.42
Garlic,piece,49,2.3,67.08
Mushroom,piece,23,3.1,62.97
Garlic,piece,49,3.1,83.86
Brinjal,gram,16,2.6,55.37
Beetroot,dozen,47,3.3,95.98
Cucumber,piece,95,2.0,85.54
Green Peas,gram,97,1.1,23.1
Mushroom,gram,4,4.9,66.85
Onion,gram,4,4.2,82.96
Bottle Gourd,gram,44,2.6,29.12
Spinach,gram,80,2.4,50.88
Spinach,dozen,1,1.4,49.33
Garlic,bundle,61,4.3,24.08
Bottle Gourd,dozen,95,1.9,17.89
Chili,dozen,9,4.5,86.29
Carrot,piece,43,1.2,60.2
Sweet Corn,piece,35,2.4,20.02
Bottle Gourd,bundle,86,2.0,11.02
Radish,piece,89,4.8,45.68
Bottle Gourd,gram,77,2.3,97.73
Mushroom,bundle,44,3.0,40.77
Green Peas,kg,48,3.8,39.23
Sweet Corn,gram,32,4.1,52.12
Pumpkin,bundle,57,2.1,48.67
Broccoli,dozen,27,4.2,34.24
Garlic,piece,40,1.0,39.7
Bitter Gourd,gram,87,1.2,56.25
Cauliflower,kg,64,2.6,20.59
Brinjal,kg,8,4.6,67.93
Cauliflower,dozen,24,4.6,20.68
Capsicum,kg,94,4.5,63.84
Broccoli,dozen,19,2.0,69.88
Bitter Gourd,bundle,43,4.6,87.62
Bottle Gourd,piece,26,2.4,51.01
Tomato,kg,84,4.0,37.38
Spinach,kg,18,1.4,42.78
Sweet Corn,piece,29,1.5,46.9
Beetroot,dozen,52,1.5,95.14
Garlic,dozen,76,1.9,77.64
Cucumber,gram,30,2.9,28.14
Radish,piece,2,3.9,89.13
Brinjal,kg,11,4.6,52.18
Chili,dozen,76,2.5,21.59
Onion,dozen,32,3.6,75.14
Radish,bundle,28,3.7,32.04
Ginger,bundle,77,4.1,16.99
Beetroot,bundle,23,3.3,19.47
Capsicum,gram,12,3.7,50.13
Mushroom,gram,31,1.8,18.08
Turnip,piece,41,1.9,99.69
Bitter Gourd,kg,83,2.0,38.02
Bitter Gourd,piece,30,1.4,86.09
Mushroom,piece,22,3.6,86.86
Carrot,bundle,32,4.8,76.73
Cucumber,dozen,75,2.3,53.41
Radish,bundle,14,4.7,58.02
Turnip,dozen,54,4.7,73.46
Cauliflower,piece,88,2.2,62.4
Beetroot,kg,85,4.1,21.56
Garlic,dozen,44,3.2,23.19
Chili,dozen,92,2.9,70.21
Mushroom,kg,31,5.0,43.75
Sweet Corn,bundle,66,2.3,98.15
Onion,piece,43,2.4,36.39
Spinach,bundle,48,1.7,72.73
Tomato,gram,53,1.5,80.14
Broccoli,piece,59,1.1,28.95
Capsicum,kg,85,5.0,99.4
Capsicum,bundle,97,3.6,18.16
Lady Finger,gram,65,4.4,70.36
Mushroom,dozen,48,4.7,42.51
Capsicum,gram,62,1.8,22.73
Mushroom,piece,19,2.0,33.19
Carrot,dozen,19,4.0,52.33
Tomato,kg,26,4.8,42.27
Turnip,gram,12,4.9,46.45
Onion,piece,17,4.5,58.52
Carrot,gram,29,2.7,30.71
Radish,dozen,92,3.0,63.96
Onion,kg,19,2.6,75.27
Onion,kg,16,4.8,97.8
Broccoli,piece,20,4.9,84.62
Mushroom,kg,100,4.0,53.26
Pumpkin,kg,93,4.6,52.67
Cabbage,bundle,50,2.0,92.98
Ginger,bundle,13,3.6,71.31
Bottle Gourd,piece,36,3.1,42.9
Carrot,kg,17,4.5,34.44
Bitter Gourd,piece,12,2.4,99.96
Brinjal,kg,15,2.4,71.02
Garlic,kg,18,2.4,12.76
Lady Finger,kg,99,2.8,26.75
Capsicum,bundle,82,1.6,50.53
Capsicum,dozen,33,2.9,56.52
Onion,kg,7,4.1,84.79
Brinjal,kg,62,1.8,76.34
Ginger,bundle,17,1.1,84.8
Spinach,gram,25,1.3,92.99
Tomato,piece,7,4.2,48.18
Tomato,piece,46,2.1,75.91
Carrot,piece,17,2.8,73.77
Brinjal,bundle,79,2.2,52.43
Radish,dozen,93,2.5,30.87
Radish,bundle,81,2.4,60.42
Cauliflower,dozen,44,3.9,93.66
Turnip,gram,49,2.3,21.69
Potato,gram,80,4.4,89.83
Cucumber,piece,40,2.7,73.65
Cabbage,piece,72,1.0,64.31
Green Peas,kg,30,4.2,16.37
Broccoli,dozen,27,1.8,71.44
Spinach,kg,16,2.7,52.74
Brinjal,kg,36,4.6,82.72
Cucumber,bundle,30,1.8,87.74
Capsicum,dozen,67,1.3,51.24
Sweet Corn,dozen,86,2.7,24.77
Onion,kg,12,1.4,47.41
Ginger,gram,47,2.8,53.16
Potato,kg,19,4.1,90.3
Bottle Gourd,bundle,60,4.8,56.64
Bitter Gourd,gram,91,3.8,20.02
Carrot,gram,40,1.3,46.32
Potato,dozen,15,4.8,20.99
Tomato,bundle,9,2.6,47.51
Ginger,kg,72,1.2,44.32
Carrot,bundle,27,2.8,17.82
Pumpkin,kg,98,2.6,98.47
Beetroot,bundle,65,4.0,75.58
Turnip,piece,61,2.0,75.29
Spinach,kg,85,2.0,80.97
